Program Version:,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
Tabular Output Report in Format: ,Comma

Building:,HotelLarge
Environment:,RUNPERIOD 1 ** New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,9593.76,845.62,845.62
,Net Site Energy,9418.40,830.16,830.16
,Total Source Energy,19808.29,1745.95,1745.95
,Net Source Energy,19252.93,1697.00,1697.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,11345.29
,Net Conditioned Building Area,11345.29
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,4516.88,5076.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,64.82,42.98,21.84,82.60,114.97,0.00,0.00,0.00
,February,85.00,56.81,28.19,112.04,113.78,0.00,0.00,0.00
,March,73.44,39.96,33.48,107.15,80.16,0.00,0.00,0.00
,April,57.18,21.88,35.30,91.26,55.64,0.00,0.00,0.00
,May,49.04,8.55,40.49,87.17,31.08,0.00,0.00,0.00
,June,46.35,5.67,40.67,98.54,13.19,0.00,0.00,0.00
,July,48.25,6.67,41.58,116.45,4.12,0.00,0.00,0.00
,August,64.05,21.76,42.29,151.83,8.42,0.00,0.00,0.00
,September,68.91,33.71,35.21,138.05,21.55,0.00,0.00,0.00
,October,99.89,62.62,37.26,177.26,46.49,0.00,0.00,0.00
,November,70.36,42.67,27.69,101.08,77.48,0.00,0.00,0.00
,December,70.34,50.45,19.89,95.24,102.54,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,66.38,32.69,33.69,113.30,55.46,0.00,0.00,0.00
,Minimum of Months,46.35,5.67,19.89,82.60,4.12,0.00,0.00,0.00
,Maximum of Months,99.89,62.62,42.29,177.26,114.97,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_1_FLR_6_WALL_SOUTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,51.18,33.94,17.24,65.95,85.35,0.00,0.00,0.00
,February,67.12,44.86,22.26,88.98,85.24,0.00,0.00,0.00
,March,57.99,31.55,26.44,83.65,60.83,0.00,0.00,0.00
,April,45.15,17.28,27.87,70.13,42.39,0.00,0.00,0.00
,May,38.73,6.75,31.98,65.81,23.62,0.00,0.00,0.00
,June,36.60,4.48,32.12,75.75,8.51,0.00,0.00,0.00
,July,38.10,5.27,32.84,91.23,1.80,0.00,0.00,0.00
,August,50.58,17.18,33.39,119.01,4.75,0.00,0.00,0.00
,September,54.42,26.61,27.80,107.25,14.61,0.00,0.00,0.00
,October,78.87,49.45,29.42,137.37,34.73,0.00,0.00,0.00
,November,55.56,33.70,21.86,79.68,57.76,0.00,0.00,0.00
,December,55.54,39.84,15.70,75.74,76.06,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,52.42,25.81,26.60,88.43,41.06,0.00,0.00,0.00
,Minimum of Months,36.60,4.48,15.70,65.81,1.80,0.00,0.00,0.00
,Maximum of Months,78.87,49.45,33.39,137.37,85.35,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_1_FLR_6_WALL_WEST_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,37.01,15.03,21.98,28.18,174.93,0.00,0.00,0.00
,February,54.53,23.80,30.73,46.94,177.46,0.00,0.00,0.00
,March,81.84,38.19,43.65,95.66,113.75,0.00,0.00,0.00
,April,88.84,38.25,50.59,123.42,77.19,0.00,0.00,0.00
,May,103.67,39.70,63.97,169.92,42.35,0.00,0.00,0.00
,June,113.15,45.90,67.25,217.31,15.38,0.00,0.00,0.00
,July,105.76,39.91,65.85,226.66,3.31,0.00,0.00,0.00
,August,117.35,54.59,62.75,247.18,8.80,0.00,0.00,0.00
,September,83.38,36.60,46.79,152.02,27.36,0.00,0.00,0.00
,October,82.53,40.27,42.26,128.12,66.97,0.00,0.00,0.00
,November,38.53,11.07,27.47,33.23,116.49,0.00,0.00,0.00
,December,33.91,14.44,19.48,26.73,158.15,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,78.54,33.22,45.32,125.18,81.31,0.00,0.00,0.00
,Minimum of Months,33.91,11.07,19.48,26.73,3.31,0.00,0.00,0.00
,Maximum of Months,117.35,54.59,67.25,247.18,177.46,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_2_FLR_6_WALL_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,9.65,0.00,9.65,0.22,98.37,0.00,0.00,0.00
,February,13.21,0.00,13.21,0.90,101.15,0.00,0.00,0.00
,March,18.32,0.00,18.32,7.00,64.52,0.00,0.00,0.00
,April,22.01,0.06,21.95,17.86,42.37,0.00,0.00,0.00
,May,29.07,0.83,28.25,38.13,22.63,0.00,0.00,0.00
,June,30.59,1.31,29.29,55.88,9.71,0.00,0.00,0.00
,July,29.76,0.91,28.85,67.69,2.50,0.00,0.00,0.00
,August,26.44,0.24,26.20,59.91,5.32,0.00,0.00,0.00
,September,19.98,0.01,19.98,31.94,16.19,0.00,0.00,0.00
,October,17.29,0.00,17.29,17.14,37.22,0.00,0.00,0.00
,November,12.12,0.00,12.12,3.92,63.90,0.00,0.00,0.00
,December,8.42,0.00,8.42,0.22,88.74,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,19.78,0.28,19.50,25.24,45.74,0.00,0.00,0.00
,Minimum of Months,8.42,0.00,8.42,0.22,2.50,0.00,0.00,0.00
,Maximum of Months,30.59,1.31,29.29,67.69,101.15,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_2_FLR_6_WALL_WEST_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,37.01,15.03,21.98,29.25,172.97,0.00,0.00,0.00
,February,54.53,23.80,30.73,48.72,175.01,0.00,0.00,0.00
,March,81.84,38.19,43.65,98.20,112.32,0.00,0.00,0.00
,April,88.84,38.25,50.59,124.54,76.98,0.00,0.00,0.00
,May,103.67,39.70,63.97,168.52,43.82,0.00,0.00,0.00
,June,113.15,45.90,67.25,213.33,18.63,0.00,0.00,0.00
,July,105.76,39.91,65.85,225.08,4.65,0.00,0.00,0.00
,August,117.35,54.59,62.75,246.98,10.09,0.00,0.00,0.00
,September,83.38,36.60,46.79,151.39,29.64,0.00,0.00,0.00
,October,82.53,40.27,42.26,130.45,66.92,0.00,0.00,0.00
,November,38.53,11.07,27.47,35.21,114.31,0.00,0.00,0.00
,December,33.91,14.44,19.48,28.20,155.44,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,78.54,33.22,45.32,125.55,81.20,0.00,0.00,0.00
,Minimum of Months,33.91,11.07,19.48,28.20,4.65,0.00,0.00,0.00
,Maximum of Months,117.35,54.59,67.25,246.98,175.01,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_3_MULT9_FLR_6_WALL_SOUTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,75.07,49.78,25.29,93.82,129.09,0.00,0.00,0.00
,February,98.44,65.79,32.65,126.60,129.17,0.00,0.00,0.00
,March,85.05,46.27,38.77,120.43,91.66,0.00,0.00,0.00
,April,66.22,25.34,40.88,102.02,62.98,0.00,0.00,0.00
,May,56.79,9.90,46.90,97.44,34.12,0.00,0.00,0.00
,June,53.67,6.57,47.10,113.55,11.59,0.00,0.00,0.00
,July,55.88,7.72,48.16,136.55,2.25,0.00,0.00,0.00
,August,74.17,25.20,48.97,176.81,6.48,0.00,0.00,0.00
,September,79.81,39.03,40.77,157.67,21.24,0.00,0.00,0.00
,October,115.67,72.52,43.15,199.98,52.02,0.00,0.00,0.00
,November,81.48,49.42,32.06,113.81,88.56,0.00,0.00,0.00
,December,81.46,58.43,23.03,107.72,115.78,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,76.87,37.86,39.02,128.96,61.70,0.00,0.00,0.00
,Minimum of Months,53.67,6.57,23.03,93.82,2.25,0.00,0.00,0.00
,Maximum of Months,115.67,72.52,48.97,199.98,129.17,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,BANQUET_FLR_6_WALL_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,67.55,0.00,67.55,0.55,724.74,0.00,0.00,0.00
,February,92.44,0.00,92.44,4.46,740.26,0.00,0.00,0.00
,March,128.21,0.00,128.21,46.13,473.06,0.00,0.00,0.00
,April,154.05,0.39,153.66,131.92,310.31,0.00,0.00,0.00
,May,203.51,5.80,197.71,291.02,163.05,0.00,0.00,0.00
,June,214.15,9.16,204.99,430.84,65.01,0.00,0.00,0.00
,July,208.33,6.39,201.94,504.46,18.25,0.00,0.00,0.00
,August,185.06,1.69,183.37,449.40,38.28,0.00,0.00,0.00
,September,139.89,0.04,139.85,248.66,112.81,0.00,0.00,0.00
,October,121.00,0.00,121.00,131.98,263.42,0.00,0.00,0.00
,November,84.87,0.00,84.87,25.07,478.07,0.00,0.00,0.00
,December,58.92,0.00,58.92,0.72,657.47,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,138.43,1.97,136.46,190.06,334.79,0.00,0.00,0.00
,Minimum of Months,58.92,0.00,58.92,0.55,18.25,0.00,0.00,0.00
,Maximum of Months,214.15,9.16,204.99,504.46,740.26,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,DINING_FLR_6_WALL_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,67.55,0.00,67.55,0.37,748.06,0.00,0.00,0.00
,February,92.44,0.00,92.44,3.57,762.76,0.00,0.00,0.00
,March,128.21,0.00,128.21,42.03,493.99,0.00,0.00,0.00
,April,154.05,0.39,153.66,124.55,326.66,0.00,0.00,0.00
,May,203.51,5.80,197.71,280.94,172.14,0.00,0.00,0.00
,June,214.15,9.16,204.99,420.92,70.72,0.00,0.00,0.00
,July,208.33,6.39,201.94,492.84,21.99,0.00,0.00,0.00
,August,185.06,1.69,183.37,438.26,42.38,0.00,0.00,0.00
,September,139.89,0.04,139.85,240.74,121.13,0.00,0.00,0.00
,October,121.00,0.00,121.00,125.87,276.41,0.00,0.00,0.00
,November,84.87,0.00,84.87,22.34,499.83,0.00,0.00,0.00
,December,58.92,0.00,58.92,0.54,681.40,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,138.43,1.97,136.46,184.01,349.14,0.00,0.00,0.00
,Minimum of Months,58.92,0.00,58.92,0.37,21.99,0.00,0.00,0.00
,Maximum of Months,214.15,9.16,204.99,492.84,762.76,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,KITCHEN_FLR_6_WALL_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,9.65,0.00,9.65,4.76,75.04,0.00,0.00,0.00
,February,13.21,0.00,13.21,6.29,78.32,0.00,0.00,0.00
,March,18.32,0.00,18.32,23.24,49.27,0.00,0.00,0.00
,April,22.01,0.06,21.95,44.78,32.85,0.00,0.00,0.00
,May,29.07,0.83,28.25,77.77,18.65,0.00,0.00,0.00
,June,30.59,1.31,29.29,103.49,7.80,0.00,0.00,0.00
,July,29.76,0.91,28.85,116.93,2.85,0.00,0.00,0.00
,August,26.44,0.24,26.20,107.53,4.90,0.00,0.00,0.00
,September,19.98,0.01,19.98,73.12,11.48,0.00,0.00,0.00
,October,17.29,0.00,17.29,46.33,25.86,0.00,0.00,0.00
,November,12.12,0.00,12.12,16.97,46.63,0.00,0.00,0.00
,December,8.42,0.00,8.42,4.46,64.83,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,19.78,0.28,19.50,52.43,34.63,0.00,0.00,0.00
,Minimum of Months,8.42,0.00,8.42,4.46,2.85,0.00,0.00,0.00
,Maximum of Months,30.59,1.31,29.29,116.93,78.32,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,KITCHEN_FLR_6_WALL_EAST_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,74.37,29.29,45.08,86.37,266.02,0.00,0.00,0.00
,February,116.25,53.97,62.28,141.29,268.39,0.00,0.00,0.00
,March,150.18,64.12,86.07,247.39,179.13,0.00,0.00,0.00
,April,180.18,79.64,100.54,360.68,120.27,0.00,0.00,0.00
,May,217.45,87.33,130.12,504.21,69.33,0.00,0.00,0.00
,June,201.17,73.06,128.12,558.19,29.17,0.00,0.00,0.00
,July,201.91,72.96,128.95,618.26,10.75,0.00,0.00,0.00
,August,228.39,103.63,124.75,662.13,18.43,0.00,0.00,0.00
,September,170.66,77.22,93.43,468.17,42.80,0.00,0.00,0.00
,October,153.33,69.26,84.08,356.68,95.49,0.00,0.00,0.00
,November,94.40,35.83,58.58,162.62,166.96,0.00,0.00,0.00
,December,73.46,34.18,39.28,95.33,228.14,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,155.40,65.12,90.28,356.51,123.77,0.00,0.00,0.00
,Minimum of Months,73.46,29.29,39.28,86.37,10.75,0.00,0.00,0.00
,Maximum of Months,228.39,103.63,130.12,662.13,268.39,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,KITCHEN_FLR_6_WALL_1_SOUTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,51.18,33.94,17.24,79.81,68.81,0.00,0.00,0.00
,February,67.12,44.86,22.26,105.86,69.89,0.00,0.00,0.00
,March,57.99,31.55,26.44,106.20,48.20,0.00,0.00,0.00
,April,45.15,17.28,27.87,98.80,33.02,0.00,0.00,0.00
,May,38.73,6.75,31.98,103.85,19.12,0.00,0.00,0.00
,June,36.60,4.48,32.12,120.98,8.05,0.00,0.00,0.00
,July,38.10,5.27,32.84,139.60,2.89,0.00,0.00,0.00
,August,50.58,17.18,33.39,167.00,4.90,0.00,0.00,0.00
,September,54.42,26.61,27.80,149.31,11.46,0.00,0.00,0.00
,October,78.87,49.45,29.42,171.17,25.59,0.00,0.00,0.00
,November,55.56,33.70,21.86,100.12,44.18,0.00,0.00,0.00
,December,55.54,39.84,15.70,90.54,59.32,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,52.42,25.81,26.60,119.57,32.75,0.00,0.00,0.00
,Minimum of Months,36.60,4.48,15.70,79.81,2.89,0.00,0.00,0.00
,Maximum of Months,78.87,49.45,33.39,171.17,69.89,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,CORRIDOR_FLR_6_WALL_1_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,12.22,0.00,12.22,0.05,135.21,0.00,0.00,0.00
,February,16.72,0.00,16.72,0.60,138.38,0.00,0.00,0.00
,March,23.20,0.00,23.20,7.08,89.10,0.00,0.00,0.00
,April,27.87,0.07,27.80,20.33,60.90,0.00,0.00,0.00
,May,36.82,1.05,35.77,44.75,34.90,0.00,0.00,0.00
,June,38.75,1.66,37.09,67.24,17.10,0.00,0.00,0.00
,July,37.69,1.16,36.54,79.09,7.29,0.00,0.00,0.00
,August,33.48,0.31,33.18,69.19,11.28,0.00,0.00,0.00
,September,25.31,0.01,25.30,36.55,27.94,0.00,0.00,0.00
,October,21.89,0.00,21.89,18.65,56.08,0.00,0.00,0.00
,November,15.35,0.00,15.35,3.48,90.99,0.00,0.00,0.00
,December,10.66,0.00,10.66,0.09,122.78,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,25.05,0.36,24.69,29.13,65.59,0.00,0.00,0.00
,Minimum of Months,10.66,0.00,10.66,0.05,7.29,0.00,0.00,0.00
,Maximum of Months,38.75,1.66,37.09,79.09,138.38,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,CORRIDOR_FLR_6_WALL_2_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,10.93,0.00,10.93,0.05,120.98,0.00,0.00,0.00
,February,14.96,0.00,14.96,0.54,123.81,0.00,0.00,0.00
,March,20.75,0.00,20.75,6.34,79.72,0.00,0.00,0.00
,April,24.94,0.06,24.87,18.19,54.49,0.00,0.00,0.00
,May,32.94,0.94,32.00,40.04,31.22,0.00,0.00,0.00
,June,34.67,1.48,33.18,60.16,15.30,0.00,0.00,0.00
,July,33.72,1.03,32.69,70.76,6.52,0.00,0.00,0.00
,August,29.96,0.27,29.68,61.91,10.10,0.00,0.00,0.00
,September,22.64,0.01,22.64,32.70,25.00,0.00,0.00,0.00
,October,19.59,0.00,19.59,16.69,50.17,0.00,0.00,0.00
,November,13.74,0.00,13.74,3.11,81.41,0.00,0.00,0.00
,December,9.54,0.00,9.54,0.08,109.87,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,22.41,0.32,22.09,26.06,58.68,0.00,0.00,0.00
